[[[0.059920646, 0.9974808, 0.037966613, 0.0], [-0.9904384, 0.06414639, -0.12213621, 0.0], [-0.12426402, -0.030285096, 0.991787, 0.0], [0.05148968, -5.030184e-05, -0.4702708, 1.0]]
[[0.05662935, 0.99696136, 0.053487062, 0.0], [-0.98998034, 0.06301225, -0.126364, 0.0], [-0.12935041, -0.045795258, 0.99054074, 0.0], [0.052636232, 0.0014007547, -0.47237974, 1.0]]
[[0.056296993, 0.99698514, 0.053398445, 0.0], [-0.98965615, 0.06279174, -0.12898816, 0.0], [-0.13195226, -0.04558446, 0.9902074, 0.0], [0.052809455, 0.0014985573, -0.47251934, 0.99999994]]
[[0.062003545, 0.99746644, 0.03487413, 0.0], [-0.9891102, 0.066082016, -0.13150944, 0.0], [-0.13348073, -0.026340308, 0.9907014, 0.0], [0.051915057, 0.0035265074, -0.47217607, 1.0]]
[[0.06319142, 0.9975659, 0.029480767, 0.0], [-0.98847926, 0.06663202, -0.13589938, 0.0], [-0.13753295, -0.02055346, 0.9902839, 0.0], [0.051565077, 0.003727773, -0.47193626, 0.9999999]]
[[0.067562185, 0.9972204, 0.031415414, 0.0], [-0.98221964, 0.07200777, -0.1733777, 0.0], [-0.17515793, -0.01914306, 0.9843543, 0.0], [0.04913976, 0.004894031, -0.4724474, 1.0]]
[[0.06782353, 0.99719405, 0.031687863, 0.0], [-0.9812685, 0.07241311, -0.17851692, 0.0], [-0.18031067, -0.018986655, 0.9834265, 0.0], [0.048848964, 0.0051784874, -0.47246295, 1.0000001]]
[[0.062248517, 0.99655706, 0.054766912, 0.0], [-0.97676545, 0.072103366, -0.20181747, 0.0], [-0.2050715, -0.040931586, 0.9778907, 0.0], [0.047880307, 0.004927136, -0.4730901, 1.0]]
[[0.059492745, 0.996339, 0.06139238, 0.0], [-0.97658354, 0.07083047, -0.20314455, 0.0], [-0.2067493, -0.04786916, 0.9772222, 0.0], [0.047845826, 0.004864544, -0.473468, 0.9999999]]
[[0.042998105, 0.9958452, 0.08027238, 0.0], [-0.98003346, 0.05765416, -0.1902901, 0.0], [-0.1941275, -0.07048751, 0.9784405, 0.0], [0.04554384, 0.0023475145, -0.47564298, 1.0]]
[[0.039251257, 0.9957272, 0.08358684, 0.0], [-0.9815485, 0.054088295, -0.18340418, 0.0], [-0.18714152, -0.074845694, 0.9794776, 0.0], [0.04599465, 0.0017708364, -0.47642642, 1.0]]
[[0.036417212, 0.9927225, 0.11478733, 0.0], [-0.9883403, 0.05277104, -0.14282405, 0.0], [-0.14784206, -0.1082477, 0.9830693, 0.0], [0.04707623, -1.4317629e-06, -0.47659266, 1.0000001]]
[[0.037073735, 0.9919748, 0.12087971, 0.0], [-0.98883086, 0.053889375, -0.13895838, 0.0], [-0.14435725, -0.11437788, 0.98289305, 0.0], [0.047313605, -0.00013606483, -0.47651047, 1.0]]
[[0.041960713, 0.9926684, 0.113352254, 0.0], [-0.9909007, 0.055868696, -0.122452036, 0.0], [-0.12788704, -0.10718266, 0.98598003, 0.0], [0.048280247, 0.00021839206, -0.475599, 1.0]]
[[0.044181664, 0.99365675, 0.10341338, 0.0], [-0.99150723, 0.0562876, -0.117239416, 0.0], [-0.12231659, -0.09735529, 0.9877046, 0.0], [0.04848982, 0.00014262623, -0.47517988, 1.0]]
[[0.048259795, 0.9956897, 0.079202905, 0.0], [-0.992687, 0.05659607, -0.10662797, 0.0], [-0.110650875, -0.07347785, 0.99113953, 0.0], [0.04899214, 0.0017209717, -0.4740968, 1.0]]
[[0.049773343, 0.99593693, 0.0750471, 0.0], [-0.9925579, 0.0576857, -0.10724488, 0.0], [-0.11113833, -0.06915063, 0.9913962, 0.0], [0.0490486, 0.0022225135, -0.4733019, 1.0]]
[[0.058887605, 0.99686116, 0.052915383, 0.0], [-0.9933436, 0.06377172, -0.095925145, 0.0], [-0.09899855, -0.04691437, 0.993981, 0.0], [0.047830038, 0.0045926734, -0.47187534, 1.0]]
[[0.063606024, 0.9970889, 0.04204439, 0.0], [-0.9919604, 0.06778496, -0.10686234, 0.0], [-0.10940129, -0.034909286, 0.9933844, 0.0], [0.04840877, 0.0053199586, -0.47107056, 0.9999999]]
[[0.07555619, 0.9971251, 0.0057246746, 0.0], [-0.991153, 0.07572945, -0.10899912, 0.0], [-0.10911927, 0.0025615322, 0.9940254, 0.0], [0.048091684, 0.00812423, -0.47035915, 1.0]]
[[0.07641932, 0.9970711, -0.0030252794, 0.0], [-0.991236, 0.07564349, -0.108302325, 0.0], [-0.10775621, 0.011275148, 0.99411345, 0.0], [0.047699466, 0.008559506, -0.47030154, 1.0000001]]
[[0.0822084, 0.9965753, -0.008890039, 0.0], [-0.98984474, 0.08060872, -0.11708595, 0.0], [-0.11596838, 0.018425215, 0.9930818, 0.0], [0.046328094, 0.008920711, -0.4697591, 0.9999999]]
[[0.08381831, 0.99644196, -0.008844295, 0.0], [-0.9892301, 0.08213633, -0.121151365, 0.0], [-0.119993776, 0.018903749, 0.99259466, 0.0], [0.045982435, 0.009008317, -0.46994355, 0.9999999]]
[[0.08660893, 0.9962262, -0.00567662, 0.0], [-0.985239, 0.08480643, -0.1487007, 0.0], [-0.1476581, 0.018471641, 0.988866, 0.0], [0.04427452, 0.008684098, -0.46971676, 1.0000001]]
[[0.08555072, 0.9963157, -0.005971683, 0.0], [-0.98490494, 0.08366264, -0.15153453, 0.0], [-0.15047671, 0.018845433, 0.9884338, 0.0], [0.04392159, 0.008672252, -0.46988255, 0.99999994]]
[[0.08059627, 0.99667627, 0.011868402, 0.0], [-0.98361206, 0.08145522, -0.16084836, 0.0], [-0.16128051, 0.0012898779, 0.9869078, 0.0], [0.043482356, 0.00809021, -0.47022352, 1.0000001]]
[[0.07851755, 0.99678856, 0.015728718, 0.0], [-0.98354167, 0.080030195, -0.16199072, 0.0], [-0.1627293, -0.0027507392, 0.98666686, 0.0], [0.043726027, 0.007979677, -0.47090125, 1.0]]
[[0.06752064, 0.997374, 0.02619723, 0.0], [-0.9838271, 0.070923895, -0.16448255, 0.0], [-0.16590859, -0.014667565, 0.98603207, 0.0], [0.04293133, 0.0060414355, -0.46742374, 1.0]]
[[0.06561797, 0.99754745, 0.02435731, 0.0], [-0.9851653, 0.06864387, -0.15728198, 0.0], [-0.15856831, -0.013675442, 0.9872534, 0.0], [0.04280082, 0.005935838, -0.46917284, 1.0]]
[[0.08168726, 0.9966577, -0.00047108205, 0.0], [-0.98588735, 0.08073517, -0.14665605, 0.0], [-0.14612785, 0.012444371, 0.9891873, 0.0], [0.044338886, 0.00997099, -0.47193307, 1.0]]
[[0.083818555, 0.99644077, -0.008958404, 0.0], [-0.9858998, 0.081618525, -0.146082, 0.0], [-0.14483093, 0.021076476, 0.9892318, 0.0], [0.04439, 0.010721212, -0.47161824, 0.99999994]]
[[0.08794149, 0.9961122, -0.005143082, 0.0], [-0.9855918, 0.08626148, -0.14549105, 0.0], [-0.14448178, 0.017863682, 0.9893459, 0.0], [0.043923058, 0.010527643, -0.4712902, 1.0]]
[[0.085269935, 0.9963527, 0.0032175581, 0.0], [-0.9853918, 0.08480881, -0.14768487, 0.0], [-0.14741904, 0.009422514, 0.98902935, 0.0], [0.044382762, 0.0100667365, -0.47165653, 1.0000001]]
[[0.07452117, 0.9964792, 0.03842367, 0.0], [-0.9865123, 0.07929746, -0.14319852, 0.0], [-0.14574115, -0.027234096, 0.98894787, 0.0], [0.045293808, 0.007901413, -0.47259885, 1.0]]
[[0.07377549, 0.9961464, 0.047430273, 0.0], [-0.98632056, 0.07991238, -0.1441721, 0.0], [-0.14740676, -0.03614509, 0.9884152, 0.0], [0.045623723, 0.0077338177, -0.47279292, 1.0]]
[[0.069854215, 0.99505264, 0.07064426, 0.0], [-0.98689777, 0.07925925, -0.14053774, 0.0], [-0.14544165, -0.059901487, 0.98755187, 0.0], [0.045204435, 0.007104397, -0.47347394, 0.9999999]]
[[0.07172569, 0.99501866, 0.06923351, 0.0], [-0.987026, 0.08080356, -0.13874704, 0.0], [-0.14365022, -0.05838352, 0.987905, 0.0], [0.044770125, 0.00717213, -0.47354004, 1.0]]
[[0.075378895, 0.99549633, 0.057489086, 0.0], [-0.9871419, 0.08264767, -0.13682257, 0.0], [-0.14095774, -0.046436343, 0.9889259, 0.0], [0.044516936, 0.008409478, -0.47291344, 1.0]]
[[0.07685095, 0.99568677, 0.05197779, 0.0], [-0.9872364, 0.08328519, -0.13574919, 0.0], [-0.13949269, -0.040881917, 0.9893786, 0.0], [0.044973217, 0.0089811925, -0.47278628, 0.9999999]]
