[[[0.08964208, 0.991795, 0.09114284, 0.0], [-0.9959703, 0.089014135, 0.010939436, 0.0], [0.002736727, -0.09175621, 0.9957777, 0.0], [0.037497, 0.017979167, -0.38958204, 1.0]]
[[0.08293373, 0.99092156, 0.10581332, 0.0], [-0.9964902, 0.08367046, -0.002534679, 0.0], [-0.011365173, -0.10523176, 0.99438274, 0.0], [0.032513127, 0.010236932, -0.39167994, 0.9999999]]
[[0.08013189, 0.99125355, 0.10485917, 0.0], [-0.9967069, 0.08099214, -0.003964581, 0.0], [-0.012422635, -0.10419616, 0.99447924, 0.0], [0.03177445, 0.0085663255, -0.39181948, 1.0]]
[[0.07059333, 0.9896223, 0.12515686, 0.0], [-0.99728507, 0.07265538, -0.01198273, 0.0], [-0.020951686, -0.12397122, 0.9920645, 0.0], [0.027629744, 0.004619721, -0.39182535, 1.0]]
[[0.06821452, 0.9888217, 0.13258378, 0.0], [-0.9973631, 0.0708883, -0.015546642, 0.0], [-0.024771554, -0.13117364, 0.9910499, 0.0], [0.026879169, 0.0038868599, -0.39148915, 1.0]]
[[0.032489147, 0.9794998, 0.19880715, 0.0], [-0.9980508, 0.042398594, -0.04579112, 0.0], [-0.053281568, -0.19693193, 0.9789683, 0.0], [0.032437798, -0.007300195, -0.39668384, 0.99999994]]
[[0.029257186, 0.9778643, 0.20718409, 0.0], [-0.9980153, 0.04014015, -0.048519667, 0.0], [-0.055762075, -0.20535338, 0.9770979, 0.0], [0.031927776, -0.007575542, -0.3973346, 0.99999994]]
[[0.013986046, 0.9506206, 0.3100397, 0.0], [-0.9983325, 0.030643014, -0.048920047, 0.0], [-0.05600499, -0.3088385, 0.94946396, 0.0], [0.030235525, -0.0052666073, -0.4023352, 0.9999999]]
[[0.012987794, 0.9443587, 0.32866016, 0.0], [-0.9984803, 0.029852573, -0.046319846, 0.0], [-0.053553898, -0.32755914, 0.94331175, 0.0], [0.028582988, -0.005721688, -0.40300116, 1.0]]
[[0.011332159, 0.9255453, 0.37846717, 0.0], [-0.99784714, 0.034917478, -0.055513263, 0.0], [-0.06459515, -0.37702334, 0.92394835, 0.0], [0.027163668, -0.010148751, -0.40811384, 1.0]]
[[0.01791702, 0.91470754, 0.40371904, 0.0], [-0.9981483, 0.039839417, -0.04596657, 0.0], [-0.058129888, -0.40214792, 0.91372746, 0.0], [0.027558936, -0.006086779, -0.41030025, 1.0]]
