[[0.0311666, 0.99584854, 0.08552433, 0.0], [-0.8419164, 0.07227351, -0.534746, 0.0], [-0.53870726, -0.055338133, 0.8406737, 0.0], [0.029365774, 0.008399872, -0.4134256, 1.0]]
[[0.025786255, 0.9951013, 0.095435776, 0.0], [-0.8375331, 0.0736267, -0.5414028, 0.0], [-0.5457774, -0.065969884, 0.83532906, 0.0], [0.028925287, 0.009333485, -0.41127464, 1.0]]
[[0.025894195, 0.9950198, 0.096255675, 0.0], [-0.8370952, 0.07421605, -0.5419997, 0.0], [-0.5464441, -0.066540495, 0.8348481, 0.0], [0.028909896, 0.009502105, -0.41171336, 1.0]]
[[0.030202212, 0.9941584, 0.10361876, 0.0], [-0.8501853, 0.08006423, -0.52035993, 0.0], [-0.5256164, -0.072379135, 0.8476371, 0.0], [0.03031846, 0.009808746, -0.41224524, 1.0]]
[[0.03091566, 0.99375206, 0.107243106, 0.0], [-0.8538899, 0.08202855, -0.5139488, 0.0], [-0.51953465, -0.07568474, 0.851091, 0.0], [0.03062291, 0.009905979, -0.4126667, 1.0]]
[[0.032345247, 0.99133134, 0.12734169, 0.0], [-0.8848189, 0.08765306, -0.45761576, 0.0], [-0.46481073, -0.09787263, 0.87998414, 0.0], [0.032980952, 0.010990887, -0.4101278, 1.0]]
[[0.032201458, 0.9911146, 0.12905309, 0.0], [-0.88956887, 0.08728634, -0.44838417, 0.0], [-0.45566475, -0.100362964, 0.88447565, 0.0], [0.033237346, 0.01113683, -0.4090176, 0.99999994]]
[[0.04329338, 0.9916688, 0.12132019, 0.0], [-0.9244477, 0.085811175, -0.3715276, 0.0], [-0.378843, -0.096069485, 0.920461, 0.0], [0.03540719, 0.010549726, -0.40298754, 0.9999999]]
[[0.043170787, 0.9917173, 0.12096811, 0.0], [-0.9279902, 0.08465774, -0.36285987, 0.0], [-0.37009537, -0.09659228, 0.9239585, 0.0], [0.035767883, 0.010355073, -0.4017822, 1.0]]
[[0.032219823, 0.9932036, 0.11184189, 0.0], [-0.9543475, 0.06381826, -0.29180133, 0.0], [-0.29695567, -0.09733426, 0.9499177, 0.0], [0.038707547, 0.010376342, -0.39720047, 1.0]]
[[0.029862028, 0.99332947, 0.111376114, 0.0], [-0.957766, 0.060316756, -0.28115177, 0.0], [-0.2859941, -0.098276466, 0.95317847, 0.0], [0.039415322, 0.0101136565, -0.39595246, 0.99999994]]
[[0.033605225, 0.992782, 0.11512789, 0.0], [-0.9797632, 0.05546701, -0.1923205, 0.0], [-0.1973182, -0.1063351, 0.9745554, 0.0], [0.041972168, 0.008972918, -0.38965622, 0.9999998]]
[[0.03737781, 0.99293345, 0.11263255, 0.0], [-0.9834895, 0.05652284, -0.17191058, 0.0], [-0.17706208, -0.1043473, 0.9786525, 0.0], [0.04272162, 0.009062596, -0.3881446, 1.0]]
[[0.037273098, 0.99421644, 0.10072079, 0.0], [-0.9933626, 0.047838382, -0.10460603, 0.0], [-0.10881929, -0.09615325, 0.9894005, 0.0], [0.046403557, 0.008896881, -0.38355044, 1.0]]
[[0.036867354, 0.9945462, 0.097564325, 0.0], [-0.9955814, 0.044991504, -0.082424425, 0.0], [-0.086364485, -0.09409443, 0.9918103, 0.0], [0.047355767, 0.008990018, -0.38211045, 1.0000001]]
[[0.05094159, 0.99389917, 0.09782333, 0.0], [-0.9985162, 0.04879908, 0.024172422, 0.0], [0.019251268, -0.09890955, 0.9949101, 0.0], [0.051021803, 0.008842969, -0.37506542, 0.99999994]]
[[0.05688849, 0.99381053, 0.09541622, 0.0], [-0.9975972, 0.05279864, 0.04485557, 0.0], [0.039540153, -0.09773871, 0.9944263, 0.0], [0.050708808, 0.007571322, -0.3733573, 1.0]]
[[0.062219594, 0.99454725, 0.083693735, 0.0], [-0.9896012, 0.050578713, 0.13465367, 0.0], [0.1296863, -0.0912015, 0.9873519, 0.0], [0.05450506, 0.006586115, -0.36864018, 0.99999994]]
[[0.05799784, 0.9939079, 0.0937174, 0.0], [-0.98792523, 0.04363126, 0.14866057, 0.0], [0.14366598, -0.10120778, 0.9844374, 0.0], [0.055484988, 0.00591411, -0.36814225, 1.0]]
[[0.05342242, 0.99566555, 0.076133616, 0.0], [-0.9762441, 0.036043227, 0.21365502, 0.0], [0.20998475, -0.08573894, 0.9739381, 0.0], [0.059371162, 0.0052529457, -0.3641955, 1.0]]
[[0.04668719, 0.99583864, 0.078265525, 0.0], [-0.9731054, 0.027647693, 0.22869492, 0.0], [0.22557947, -0.086837746, 0.9703469, 0.0], [0.059863612, 0.005324071, -0.36131695, 1.0]]
